place_name,aggregate_date,isp_name,total_samples,consistency_broadband,consistency_ultra_broadband
Armenia,2021-02-01T00:00:00Z,Movistar,201,0.0497512437810945,0.0348258706467662
Armenia,2021-03-01T00:00:00Z,All providers combined,5534,0.541380556559451,0.0287314781351644
Armenia,2021-03-01T00:00:00Z,Claro,3082,0.626541207008436,0.0340687865022712
Armenia,2021-03-01T00:00:00Z,Tigo,2299,0.454545454545455,0.0160939538929969
Armenia,2021-03-01T00:00:00Z,Movistar,153,0.130718954248366,0.111111111111111
Armenia,2021-04-01T00:00:00Z,Claro,2730,0.687912087912088,0.0391941391941392
Armenia,2021-04-01T00:00:00Z,All providers combined,5356,0.575989544436146,0.0347274085138163
Armenia,2021-04-01T00:00:00Z,Tigo,2422,0.479355904211396,0.0181668042939719
Armenia,2021-04-01T00:00:00Z,Movistar,204,0.225490196078431,0.17156862745098
Armenia,2021-05-01T00:00:00Z,Tigo,1920,0.6,0.0208333333333333
