Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;Device Count;Minimum Latency;Multi-Server Latency;Multi-Server Jitter;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Meta, Colombia;;jun-22;1773;689;N/A;cellular;median;689;36;549.424;172.251;10150;7322;10.15;7.32
All Providers Combined;Narino, Colombia;;jun-22;1340;418;N/A;cellular;median;418;54;784.379;132.701;11018;9487;11.02;9.49
All Providers Combined;North Santander, Colombia;;jun-22;2577;732;N/A;cellular;median;732;49;811.296;18.307;8349;8562;8.35;8.56
All Providers Combined;Putumayo, Colombia;;jun-22;408;126;N/A;cellular;median;126;58;994.237;269.731;6523;6266;6.52;6.27
All Providers Combined;Quindio, Colombia;;jun-22;1109;400;N/A;cellular;median;400;48;693.274;124.904;12909;8200;12.91;8.20
All Providers Combined;Risaralda, Colombia;;jun-22;1922;627;N/A;cellular;median;627;44;682.381;12.724;11248;8439;11.25;8.44
All Providers Combined;San Andrés and Providencia, Colombia;;jun-22;788;190;N/A;cellular;median;190;60;1.543.956;182.566;8267;6986;8.27;6.99
All Providers Combined;Santander Department, Colombia;;jun-22;6114;1677;N/A;cellular;median;1677;50;903.395;197.969;9769;8780;9.77;8.78
All Providers Combined;Sucre, Colombia;;jun-22;1145;321;N/A;cellular;median;321;50;939.296;144.627;8669;8578;8.67;8.58
All Providers Combined;Tolima, Colombia;;jun-22;2229;799;N/A;cellular;median;799;35;570.091;177.604;11029;7045;11.03;7.05
All Providers Combined;Valle del Cauca, Colombia;;jun-22;9395;3477;N/A;cellular;median;3477;41;602.912;114.393;13106;9851;13.11;9.85
All Providers Combined;Vaupes, Colombia;;jun-22;27;11;N/A;cellular;median;11;74;105.247;555.845;1390;4282;1.39;4.28
All Providers Combined;Vichada, Colombia;;jun-22;38;11;N/A;cellular;median;11;106;2.383.467;961.341;2582;2500;2.58;2.50
All Providers Combined;Guaviare, Colombia;;jun-22;149;46;N/A;cellular;median;46;33;521.812;186.037;10894;9259;10.89;9.26
